,language,url,query,documentation
12,python,https://github.com/JdeRobot/base/blob/303b18992785b2fe802212f2d758a60873007f1f/src/drivers/MAVLinkServer/MAVProxy/modules/lib/mp_util.py#L189-L197,convert int to string,convert to grid reference
13,java,https://github.com/ixa-ehu/kaflib/blob/3921f55d9ae4621736a329418f6334fb721834b8/src/main/java/ixa/kaflib/KAFDocument.java#L1868-L1874,convert int to string,Converts a List into a Span
14,python,https://github.com/harlowja/failure/blob/9ea9a46ebb26c6d7da2553c80e36892f3997bd6f/failure/failure.py#L623-L629,convert int to string,Converts this from a dictionary to a object.
15,python,https://github.com/sassoo/goldman/blob/b72540c9ad06b5c68aadb1b4fa8cb0b716260bf2/goldman/queryparams/page.py#L124-L133,convert int to string,Convert the Paginator into a dict
16,php,https://github.com/polyfony-inc/polyfony/blob/76dac2f4141c8f480370236295c07dfa52e5c589/Private/Polyfony/Format.php#L216-L233,convert int to string,convert an array to a csv
17,go,https://github.com/intelsdi-x/snap/blob/e3a6c8e39994b3980df0c7b069d5ede810622952/grpc/common/common.go#L358-L364,convert int to string,// Converts configMaps to ConfigDataNode
18,python,https://github.com/SwissDataScienceCenter/renku-python/blob/691644d695b055a01e0ca22b2620e55bbd928c0d/renku/models/datasets.py#L151-L157,convert int to string,Convert dataset files.
19,javascript,https://github.com/catamphetamine/react-time-ago/blob/2f7bf6d8981ec49cdb94a15d99ef0fddf410d90c/source/ReactTimeAgo.js#L238-L249,convert int to string,Converts argument into a `Date`.
20,python,https://github.com/tensorflow/mesh/blob/3921196e5e43302e820da0a87329f25d7e2a3016/mesh_tensorflow/tpu_variables.py#L183-L197,convert int to string,Converts a variable to a tensor.
21,java,https://github.com/BlueBrain/bluima/blob/793ea3f46761dce72094e057a56cddfa677156ae/modules/bluima_abbreviations/src/main/java/com/wcohen/ss/CombinedStringDistanceLearner.java#L184-L194,convert int to string,/* lazily convert to a MultiStringWrapper
22,python,https://github.com/tisimst/mcerp/blob/2bb8260c9ad2d58a806847f1b627b6451e407de1/mcerp/umath.py#L128-L136,convert int to string,Convert radians to degrees
23,python,https://github.com/miso-belica/jusText/blob/ad05130df2ca883f291693353f9d86e20fe94a4e/justext/core.py#L132-L136,convert int to string,Converts DOM into paragraphs.
24,python,https://github.com/tisimst/mcerp/blob/2bb8260c9ad2d58a806847f1b627b6451e407de1/mcerp/umath.py#L236-L244,convert int to string,Convert degrees to radians
25,javascript,https://github.com/instea/react-native-popup-menu/blob/46197a3a72a2031c040b6c1c5971199bb53f938b/build/rnpm.js#L228-L237,convert int to string,Converts iterator to array
26,python,https://github.com/pybel/pybel/blob/c8a7a1bdae4c475fa2a8c77f3a9a5f6d79556ca0/src/pybel/struct/pipeline/pipeline.py#L25-L27,convert int to string,Convert a dictionary to a tuple.
27,python,https://github.com/pytroll/pyspectral/blob/fd296c0e0bdf5364fa180134a1292665d6bc50a3/rsr_convert_scripts/seviri_rsr.py#L163-L184,convert int to string,Convert from wavelengths to wavenumber
28,python,https://github.com/google/grr/blob/5cef4e8e2f0d5df43ea4877e9c798e0bf60bfe74/grr/server/grr_response_server/export.py#L1296-L1317,convert int to string,Convert batch of FileStoreHashs.
29,python,https://github.com/jspricke/python-abook/blob/cc58ad998303ce9a8b347a3317158c8f7cd0529f/abook.py#L283-L311,convert int to string,Converts a vCard to Abook
30,go,https://github.com/keybase/go-keychain/blob/8441f7257eb146425dca61e269cdb931987e6455/corefoundation_1.10.go#L234-L267,convert int to string,// Convert converts a CFTypeRef to a go instance.
31,php,https://github.com/ezsystems/ezpublish-legacy/blob/2493420f527fbc829a8d5bdda402e05d64a20db7/lib/ezimage/classes/ezimagegdhandler.php#L254-L259,convert int to string,"/*!
Converts the image to grayscale."
32,java,https://github.com/google/j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/openjdk/src/share/classes/java/math/MutableBigInteger.java#L183-L187,convert int to string,Convert this MutableBigInteger to a BigInteger object.
33,java,https://github.com/lievendoclo/Valkyrie-RCP/blob/6aad6e640b348cda8f3b0841f6e42025233f1eb8/valkyrie-rcp-core/src/main/java/org/valkyriercp/binding/format/support/DateFormatter.java#L57-L59,convert int to string,convert back from string to date
34,python,https://github.com/aws/aws-xray-sdk-python/blob/707358cd3a516d51f2ebf71cf34f00e8d906a667/aws_xray_sdk/core/models/traceid.py#L22-L28,convert int to string,Convert TraceId object to a string.
35,python,https://github.com/Azure/azure-kusto-python/blob/92466a2ae175d6353d1dee3496a02517b2a71a86/azure-kusto-ingest/azure/kusto/ingest/_ingestion_blob_info.py#L65-L67,convert int to string,Converts array to a json string
36,python,https://github.com/ThreatConnect-Inc/tcex/blob/dd4d7a1ef723af1561687120191886b9a2fd4b47/tcex/tcex_cache.py#L28-L34,convert int to string,Convert datetime to epoch seconds.
37,java,https://github.com/Stratio/stratio-cassandra/blob/f6416b43ad5309083349ad56266450fa8c6a2106/src/java/org/apache/cassandra/hadoop/pig/AbstractCassandraStorage.java#L564-L578,convert int to string,convert string back to CfDef
38,go,https://github.com/suapapa/go_hangul/blob/3793330afa89fa2955c0df0fa82e4c5dcac67ee6/hangul.go#L49-L61,convert int to string,// Split converts NFC to NFD
39,python,https://github.com/zengbin93/zb/blob/ccdb384a0b5801b459933220efcb71972c2b89a7/zb/tools/file.py#L11-L52,convert int to string,Converts a string to a valid filename.
40,go,https://github.com/exoscale/egoscale/blob/4e527724b8225e8315d580accd1c4e860202d41b/macaddress.go#L51-L54,convert int to string,// ParseMAC converts a string into a MACAddress
41,python,https://github.com/apple/turicreate/blob/74514c3f99e25b46f22c6e02977fe3da69221c2e/src/external/coremltools_wrap/coremltools/deps/protobuf/python/google/protobuf/json_format.py#L672-L688,convert int to string,Convert an floating point number.
42,python,https://github.com/mardix/pylot/blob/506a33a56ebdfc0925b94015e8cf98ccb16a143c/pylot/utils.py#L192-L211,convert int to string,Convert bytes into human readable
43,java,https://github.com/Jasig/uPortal/blob/c1986542abb9acd214268f2df21c6305ad2f262b/uPortal-rendering/src/main/java/org/apereo/portal/portlet/PortletUtils.java#L109-L120,convert int to string,Convert a String into a {@link WindowState}
44,python,https://github.com/postlund/pyatv/blob/655dfcda4e2f9d1c501540e18da4f480d8bf0e70/pyatv/mrp/tlv8.py#L44-L61,convert int to string,Convert a dict to TLV8 bytes.
45,python,https://github.com/gunthercox/ChatterBot/blob/1a03dcb45cba7bdc24d3db5e750582e0cb1518e2/chatterbot/parsing.py#L520-L537,convert int to string,"Convert time to hour, minute"
46,python,https://github.com/CivicSpleen/ambry/blob/d7f2be4bf1f7ffd086f3fadd4fcae60c32473e42/ambry/orm/__init__.py#L214-L232,convert int to string,Convert plain list to MutationList.
47,python,https://github.com/LPgenerator/django-db-mailer/blob/217a73c21ba5c6b68738f74b2c55a6dd2c1afe35/dbmail/providers/sendinblue/mail.py#L26-L32,convert int to string,Convert an email address to a list.
48,python,https://github.com/noxdafox/clipspy/blob/b22d71a6da821c1715d8fa00d7d75cabc09ed364/clips/data.py#L90-L102,convert int to string,Convert a Python type into CLIPS.
49,java,https://github.com/signalapp/curve25519-java/blob/70fae57d6dccff7e78a46203c534314b07dfdd98/common/src/main/java/org/whispersystems/curve25519/java/ge_p3_tobytes.java#L7-L18,convert int to string,"CONVERT #include ""ge.h"""
50,go,https://github.com/anacrolix/torrent/blob/d2400968fc54c3d8a6482d4ca5ff16cc5e5139cb/file.go#L112-L120,priority queue,// Sets the minimum priority for pieces in the File.
51,go,https://github.com/kubernetes/kubernetes/blob/6a8a3682919652ae668c389ed2f60efb770eed03/pkg/scheduler/factory/plugins.go#L552-L561,priority queue,// ListRegisteredPriorityFunctions returns the registered priority functions.
52,go,https://github.com/mongodb/grip/blob/8b8accd7a3ec9b31a2d3eea610d5bf906bddfd11/slogger/level.go#L38-L53,priority queue,// Priority returns grip's native level.Priority for a slogger.Level.
53,go,https://github.com/globalsign/certlint/blob/0d1cb4010c341ea8d36a5e49a88e1dca78a21fa7/errors/errors.go#L75-L90,priority queue,"// List returns all errors of a given priority, if no priority is given all
// errors are returned."
54,go,https://github.com/mailgun/minheap/blob/3dbe6c6bf55f94c5efcf460dc7f86830c21a90b2/minheap.go#L67-L71,priority queue,// update modifies the priority and value of an Item in the queue.
55,ruby,https://github.com/celluloid/celluloid/blob/2c21bbc481ae65ba527f415f52df4ae99700b72f/lib/celluloid/system_events.rb#L4-L13,priority queue,Handle high-priority system event messages
56,python,https://github.com/GNS3/gns3-server/blob/a221678448fb5d24e977ef562f81d56aacc89ab1/gns3server/compute/qemu/qemu_vm.py#L447-L457,priority queue,"Sets the boot priority for this QEMU VM.

        :param boot_priority: QEMU boot priority"
57,php,https://github.com/webfactory/symfony-application-tests/blob/971c0d45c46dc20323535940fc0d1cc7eafaf553/src/Webfactory/Constraint/IsEventSubscriberConstraint.php#L128-L135,priority queue,"Checks the given priority.

@param string $event
@param integer|mixed $priority"
58,go,https://github.com/ethereum/go-ethereum/blob/b6c0234e0b5c9d459d1ed784c910f6348890d56b/les/api.go#L337-L378,priority queue,// setClientCapacity sets the priority capacity assigned to a given client
59,ruby,https://github.com/Origen-SDK/origen/blob/f05e9dd190fcb90284084ba6e2bd4b0fe0c7f4ac/lib/origen/site_config.rb#L116-L121,priority queue,Dynamically add a new site variable at the highest priority.
60,java,https://github.com/lucee/Lucee/blob/29b153fc4e126e5edb97da937f2ee2e231b87593/core/src/main/java/lucee/runtime/thread/ThreadUtil.java#L150-L160,priority queue,"return priority as a int representation

@param priority Thread priority as String definition
@return int definition of priority (-1 when input is invalid)"
61,go,https://github.com/beeker1121/goque/blob/4044bc29b28064db4f08e947c4972d5ca3e0f3c8/priority_queue.go#L422-L443,priority queue,"// getNextItem returns the next item in the priority queue, updating
// the current priority level of the queue if necessary."
62,java,https://github.com/asterisk-java/asterisk-java/blob/cdc9849270d97ef75afa447a02c5194ed29121eb/src/main/java/org/asteriskjava/util/internal/Slf4JLogger.java#L137-L140,priority queue,Log an error to the SLF4J Logger with <code>ERROR</code> priority.
63,php,https://github.com/ezsystems/ezpublish-kernel/blob/ef2ae730a46e9718ebd80f1047c0f8b866209ce9/eZ/Publish/Core/Persistence/Legacy/Content/ObjectState/Gateway/ExceptionConversion.php#L341-L350,priority queue,"Updates the object state priority to provided value.

@param mixed $stateId
@param int $priority"
64,java,https://github.com/the-fascinator/plugin-indexer-solr/blob/001159b18b78a87daa5d8b2a17ced28694bae156/src/main/java/com/googlecode/fascinator/indexer/SolrWrapperQueueConsumer.java#L593-L599,priority queue,"Sets the priority level for the thread. Used by the OS.

@param newPriority The priority level to set the thread at"
65,java,https://github.com/spotbugs/spotbugs/blob/f6365c6eea6515035bded38efa4a7c8b46ccf28c/spotbugs/src/main/java/edu/umd/cs/findbugs/config/ProjectFilterSettings.java#L300-L313,priority queue,"Set minimum warning priority threshold.

@param minPriority
the priority threshold: one of ""High"", ""Medium"", or ""Low"""
66,php,https://github.com/zicht/url-bundle/blob/4638524124c84b61c02d5194f8a28f34e9eb9845/src/Zicht/Bundle/UrlBundle/Url/DelegatingProvider.php#L36-L40,priority queue,"Add a provider with the specified priority. Higher priority means exactly that ;)

@param Provider $provider
@param int $priority
@return void"
67,php,https://github.com/TYPO3-Solr/ext-solr/blob/b9fd8b98341d9935dba44e0ad226e7f5e3c19a93/Classes/IndexQueue/FrontendHelper/PageIndexer.php#L203-L216,priority queue,"Determines the highest priority of all registered authentication
services.

@return int Highest priority of all registered authentication service"
68,python,https://github.com/spotify/luigi/blob/c5eca1c3c3ee2a7eb612486192a0da146710a1e9/luigi/scheduler.py#L771-L782,priority queue,"Update priority of the given task.

        Priority can only be increased.
        If the task doesn't exist, a placeholder task is created to preserve priority when the task is later scheduled."
69,php,https://github.com/proem/proem/blob/31e00b315a12d6bfa65803ad49b3117d8b9c4da4/lib/Proem/Util/Structure/PriorityQueue.php#L86-L96,priority queue,"Insert an item into the queue.

@param mixed $data
@param int $priority"
70,php,https://github.com/ventoviro/windwalker-core/blob/0ed53059fc2d5d2d9b72f0e4aeef2fdf6aac0074/src/Core/Mvc/AbstractClassResolver.php#L140-L145,priority queue,"registerDefaultNamespace

@param PriorityQueue $namespaces
@param int           $priority

@return  static"
71,php,https://github.com/ventoviro/windwalker-core/blob/0ed53059fc2d5d2d9b72f0e4aeef2fdf6aac0074/src/Core/View/Traits/LayoutRenderableTrait.php#L234-L241,priority queue,"addPaths

@param array $paths
@param int   $priority

@return  static"
72,php,https://github.com/ventoviro/windwalker-core/blob/0ed53059fc2d5d2d9b72f0e4aeef2fdf6aac0074/src/Core/Package/AbstractPackage.php#L464-L473,priority queue,"addMiddleware

@param callable $middleware
@param int      $priority

@return static"
73,php,https://github.com/schpill/thin/blob/a9102d9d6f70e8b0f6be93153f70849f46489ee1/src/Queuespl.php#L56-L66,priority queue,"Insert an item into the queue

Priority defaults to 1 (low priority) if none provided.

@param  mixed $data
@param  int $priority
@return Queue"
74,ruby,https://github.com/rails/sprockets/blob/9e3f0d8e98c44f57e67bc138db87bb8469bf5ddd/lib/sprockets/paths.rb#L47-L52,priority queue,"Append a `path` to the `paths` list.

 Paths at the beginning of the `Array` have a higher priority."
75,javascript,https://github.com/yvele/poosh/blob/1b8a84d2bc38d92711405004270c0dcc84e4dbf0/packages/poosh-core/src/FileProvider.js#L42-L46,priority queue,"Sort tuples by priority first and then by src relative path.

@this FileProvider
@private"
76,php,https://github.com/claroline/Distribution/blob/a2d9762eddba5732447a2915c977a3ce859103b6/main/core/Listener/AuthenticationSuccessListener.php#L244-L249,priority queue,"@DI\Observe(""kernel.response"", priority = 1)

@param FilterResponseEvent $event"
77,python,https://github.com/ofek/depq/blob/370e3ad503d3e9cedc3c49dc64add393ba945764/depq/depq.py#L124-L154,priority queue,"Adds item to DEPQ as lowest priority. The default
        starting priority is 0, the default new priority is
        self.low(). Performance: O(1)"
78,php,https://github.com/ventoviro/windwalker-core/blob/0ed53059fc2d5d2d9b72f0e4aeef2fdf6aac0074/src/Core/Controller/AbstractController.php#L1106-L1111,priority queue,"addMiddleware

@param   callable|AbstractControllerMiddleware $middleware
@param   int                                   $priority

@return static"
79,php,https://github.com/backbee/backbee-php/blob/d752ec7b609e538de60fb0bfcac478f6c9ed607c/Logging/Logger.php#L297-L300,priority queue,"Get priority name by its code.

@param int $code

@return string|null"
80,python,https://github.com/v1k45/python-qBittorrent/blob/04f9482a022dcc78c56b0b9acb9ca455f855ae24/qbittorrent/client.py#L468-L475,priority queue,"Set torrents to maximum priority level.

        :param infohash_list: Single or list() of infohashes."
81,php,https://github.com/xinc-develop/xinc-core/blob/4bb69a6afe19e1186950a3122cbfe0989823e0d6/src/Logger.php#L177-L180,priority queue,"Log a message with priority 'warn'.

@param string $msg
@param resource fileHandle"
82,php,https://github.com/rdohms/chainlink/blob/1443f709ead7bd8eec7ac313818696e89c053385/src/Context.php#L29-L40,priority queue,"Registers a new handler in the list

@param HandlerInterface $handler
@param int $priority the higher the number the higher the priority
@throws InvalidArgumentException"
83,php,https://github.com/Erebot/Plop/blob/419a1cd6d8a6ed24ebcc65d8c7ebcec5f5baaa8b/src/Handler/SysLog.php#L174-L183,priority queue,"Encode facility & priority information.

\param int|string $facility
The facility.

\param int|string $priority
The priority.

\retval int
The facility & priority, combined
in a single integer."
84,php,https://github.com/siriusphp/filtration/blob/9f96592484f6d326e8bb8d5957be604a1622d08f/src/FilterSet.php#L71-L88,priority queue,"Get a valid priority number to attach to a filter

@param int $desiredPriority
@return number"
85,php,https://github.com/rabbitcms/forms/blob/4dd657d1c8caeb0b87f25239fabf5fa064db29cd/src/ControlCollection.php#L202-L207,priority queue,"@param string $name
@param string $label
@param int $priority

@return ControlCollection"
86,go,https://github.com/rs/zerolog/blob/acf3980132bfcdc48638724e6e3d9e5749b85999/journald/journald.go#L46-L66,priority queue,"// levelToJPrio converts zerolog Level string into
// journalD's priority values. JournalD has more
// priorities than zerolog."
87,php,https://github.com/zepi/turbo-base/blob/9a36d8c7649317f55f91b2adf386bd1f04ec02a3/Zepi/Web/General/src/Manager/TemplatesManager.php#L165-L174,priority queue,"Removes the template file for the given key and priority.

@access public
@param string $key
@param string $file
@param integer $priority"
88,go,https://github.com/kubernetes/kubernetes/blob/6a8a3682919652ae668c389ed2f60efb770eed03/staging/src/k8s.io/client-go/restmapper/discovery.go#L240-L251,priority queue,"// KindsFor takes a partial resource and returns back the list of
// potential kinds in priority order."
89,go,https://github.com/blackjack/syslog/blob/4ea3f32c1eb1115ad9e010eeff314fffc5fc8638/syslog.go#L96-L98,priority queue,"// Formats according to a format specifier and writes to syslog with
// facility and priority indicated by parameter ""p"""
90,php,https://github.com/joomlatools/joomlatools-framework/blob/5ea3cc6b48b68fd8899a573b191de983e768d56e/code/libraries/joomlatools/library/filter/chain.php#L119-L127,priority queue,"Add a filter to the queue based on priority

@param KFilterInterface  $filter A Filter
@param integer           $priority The command priority, usually between 1 (high priority) and 5 (lowest),
default is 3. If no priority is set, the command priority will be used
instead.

@return KFilterChain"
91,go,https://github.com/kubernetes/kubernetes/blob/6a8a3682919652ae668c389ed2f60efb770eed03/pkg/scheduler/factory/plugins.go#L272-L279,priority queue,"// RegisterPriorityFunction registers a priority function with the algorithm registry. Returns the name,
// with which the function was registered.
// DEPRECATED
// Use Map-Reduce pattern for priority functions."
92,php,https://github.com/mossphp/moss-storage/blob/0d123e7ae6bbfce1e2a18e73bf70997277b430c1/Moss/Storage/Query/EventDispatcher/EventDispatcher.php#L52-L65,priority queue,"Register listener to event

@param string   $event
@param callable $listener
@param int      $priority"
93,php,https://github.com/webriq/core/blob/cfeb6e8a4732561c2215ec94e736c07f9b8bc990/module/Customize/src/Grid/Customize/Model/Rule/Structure.php#L290-L305,priority queue,"Get raw property postix (based on the priority)

@param string $rawName
@return string"
94,php,https://github.com/sokil/php-list/blob/c33eee125d9f4e72171329673dbceb33feae658a/src/PriorityMap.php#L37-L47,priority queue,"Add new item to map

@param mixed $key scalar value or object to add into priority map
@param mixed $value value
@param int $priority priority

@return PriorityMap"
95,php,https://github.com/codete/FormGeneratorBundle/blob/c0bc3704d3f6df505ec232aa32b345159fffd980/AdjusterRegistry.php#L63-L67,priority queue,"Adds provider for defining default fields for form

@param FormViewProviderInterface $provider
@param int $priority"
96,php,https://github.com/native5/native5-sdk-common-php/blob/c8bd5b219bd05ea4d317d21ae9c0c8dddcede7fe/src/Native5/Core/Log/Impl/SysLogHandler.php#L96-L103,priority queue,"Writes log to file.

@param mixed $message  Message to write
@param mixed $priority Priority of message to be written

@access public
@return void"
97,java,https://github.com/graphhopper/graphhopper/blob/c235e306e6e823043cadcc41ead0e685bdebf737/core/src/main/java/com/graphhopper/routing/util/BikeCommonFlagEncoder.java#L488-L514,priority queue,Conversion of class value to priority. See http://wiki.openstreetmap.org/wiki/Class:bicycle
98,php,https://github.com/hail-framework/framework/blob/d419e6c098d29ef9b62192b74050e51985b94f90/src/Debugger/Debugger.php#L826-L835,priority queue,"Logs message or exception.

@param mixed  $message
@param string $priority

@return string|null"
99,php,https://github.com/ezsystems/ezplatform-xmltext-fieldtype/blob/1523ef3887bc1aaf019111ecc66df6e9c91a92f3/lib/FieldType/XmlText/Converter/Html5.php#L83-L96,priority queue,"Sets the custom stylesheets grouped by priority.

@param array $customStylesheets Array of XSL stylesheets. Each entry
consists in a hash having ""path"" and ""priority"" keys."
100,java,https://github.com/ggrandes/kvstore/blob/c79277f79f4604e0fec8349a98519838e3de38f0/src/main/java/org/javastack/kvstore/Options.java#L13-L16,string to date,String
101,python,https://github.com/victorlei/smop/blob/bdad96b715d1dd75ce8ab4724f76b9b1bb1f61cd/smop/parse.py#L464-L466,string to date,string : STRING
102,javascript,https://github.com/multiformats/js-multiaddr/blob/2bb0f1d80080942255d5c9a45d8bc552e0a9e232/src/codec.js#L171-L175,string to date,Buffer -> String
103,python,https://github.com/inasafe/inasafe/blob/831d60abba919f6d481dc94a8d988cc205130724/safe/utilities/unicode.py#L25-L30,string to date,Convert to str
104,go,https://github.com/lavab/mailer/blob/a0901ff739bb9a5599f40133deaadb250ec834db/Godeps/_workspace/src/code.google.com/p/goprotobuf/proto/encode.go#L380-L389,string to date,// Encode a string.
105,python,https://github.com/bionikspoon/pureyaml/blob/784830b907ca14525c4cecdb6ae35306f6f8a877/pureyaml/__init__.py#L47-L49,string to date,Dump string.
106,python,https://github.com/restran/mountains/blob/a97fee568b112f4e10d878f815d0db3dd0a98d74/mountains/encoding/converter.py#L183-L190,string to date,Binary to string.
107,python,https://github.com/ifduyue/urlfetch/blob/e0ea4673367c157eb832ba4ba2635306c81a61be/urlfetch.py#L359-L361,string to date,Cookie string
108,python,https://github.com/log2timeline/dfvfs/blob/2b3ccd115f9901d89f383397d4a1376a873c83c4/dfvfs/vfs/tsk_file_entry.py#L211-L224,string to date,str: name.
109,java,https://github.com/jfinal/jfinal/blob/fc07f0f5d56e85ccd3cfcdd587b56b8dd9c663e9/src/main/java/com/jfinal/validate/Validator.java#L498-L500,string to date,Validate string.
110,javascript,https://github.com/jayli/grunt-inline-assets/blob/68c3aac6a9768cf6535cf398d30faf947ddd960a/tasks/ssi.js#L151-L162,string to date,data: string
111,go,https://github.com/ngaut/gostats/blob/faefc939c0359a8930e92767bfa425546a38f69a/timings.go#L56-L74,string to date,// String is for expvar.
112,php,https://github.com/Maxlopez/slimer-core/blob/061c21eacbceab1555b7480dac2f95a2a33baea7/src/Slimer/Core/Functions/SlimerFunctions.php#L80-L90,string to date,"/*
|---------------------------------------------------------------------------------------------------
| Random string
|---------------------------------------------------------------------------------------------------"
113,php,https://github.com/reinvanoyen/aegis/blob/ecd831fd6f3ceb4fb20fb5af83483d73cad8e323/lib/Aegis/Lexer.php#L263-L276,string to date,MODE STRING
114,go,https://github.com/steakknife/hamming/blob/c99c65617cd3d686aea8365fe563d6542f01d940/slices_of_hamming.go#L139-L144,string to date,// runize string
115,python,https://github.com/iwanbk/nyamuk/blob/ac4c6028de288a4c8e0b332ae16eae889deb643d/nyamuk/mqtt_pkt.py#L218-L236,string to date,Read string.
116,php,https://github.com/Eresus/EresusCMS/blob/b0afc661105f0a2f65d49abac13956cc93c5188d/src/core/themes.php#L377-L404,string to date,"???
@return string"
117,java,https://github.com/Gagravarr/VorbisJava/blob/22b4d645b00386d59d17a336a2bc9d54db08df16/core/src/main/java/org/gagravarr/opus/OpusTags.java#L59-L62,string to date,Magic string
118,php,https://github.com/sudiptochoudhury/php-api-client-forge/blob/01329dab4c5123b8fad89a5ece442be52be76a34/src/support/forge/api/Traits/Import/Parsers.php#L293-L301,string to date,"@param string $string

@return string"
119,go,https://github.com/tendermint/tendermint/blob/4253e67c07c69be6d7f7263ab03944ce30a9fc90/consensus/reactor.go#L1456-L1459,string to date,// String returns a string representation.
120,javascript,https://github.com/blinkmobile/cli/blob/c9bdc6b6915de5bd30620f2d0168970275344858/lib/commands.js#L47-L49,string to date,filterBlinkm (commands: String[]) => String[]
121,php,https://github.com/alhames/phphelper/blob/885ab10fcee7b014e8299307f27f15d2cd965369/src/Str.php#L187-L195,string to date,"@param string $string

@return string"
122,javascript,https://github.com/sanctuary-js/sanctuary-def/blob/61dc7935e973d3b0fac9f37c0dc265d29b7e682f/index.js#L2412-L2417,string to date,"see :: (String, { name :: String, url :: String? }) -> String"
123,python,https://github.com/xlzd/xtls/blob/b3cc0ab24197ecaa39adcad7cd828cada9c04a4e/xtls/util.py#L33-L41,string to date,convert a object to string
124,javascript,https://github.com/lantiga/ki/blob/5c2fdfc5f0ad9d6ea88161962604550193f5d6db/editor/scripts/sweet.js#L128-L136,string to date,"fun (Str, {}) -> AST"
125,php,https://github.com/pomm-project/Foundation/blob/34244acffa50b4a6ccd77cb96133dc38e410c914/sources/lib/Inflector.php#L51-L58,string to date,"Underscore a string.

@param  string $string
@return string"
126,php,https://github.com/hubzero/framework/blob/391de11e82f44c5fc9b2fbf0c8f6bde4cb0e8609/src/Spam/StringProcessor/NativeStringProcessor.php#L56-L80,string to date,"Prepare a string

@param   string  $string
@return  string"
127,javascript,https://github.com/MrSwitch/hello.js/blob/50b2b792d758774fc08e8da911fd4415ea3831ba/dist/hello.all.js#L2340-L2349,string to date,Headers are returned as a string
128,php,https://github.com/SergioMadness/pwf-helpers/blob/d6cd44807c120356d60618cb08f237841c35e293/src/StringHelpers.php#L89-L96,string to date,"String to url

@param string $str
@return string"
129,php,https://github.com/osflab/crypt/blob/c5bfaf82bcac6d052c319e44ad0bc3919411fa13/Crypt.php#L45-L48,string to date,"Encrypt a string
@param string $str
@return string"
130,java,https://github.com/baratine/baratine/blob/db34b45c03c5a5e930d8142acc72319125569fcf/core/src/main/java/com/caucho/v5/bytecode/cpool/ConstantPool.java#L248-L263,string to date,Adds a string constant.
131,php,https://github.com/mdzzohrabi/azera-core/blob/103f7de0d75ea5f8ebb4c4c6a9f4e36b6fd3fbdf/StringUtil.php#L191-L197,string to date,"Truncate string

@param  string $string
@return string"
132,python,https://github.com/jgorset/django-respite/blob/719469d11baf91d05917bab1623bd82adc543546/respite/inflector.py#L131-L133,string to date,Transform an underscore_case string to a mixedCase string
133,python,https://github.com/HHammond/PrettyPandas/blob/99a814ffc3aa61f66eaf902afaa4b7802518d33a/prettypandas/formatters.py#L27-L37,string to date,Format a number to a string.
134,go,https://github.com/glycerine/zygomys/blob/36f1c7120ff2d831cebbb6f059ddc948273a8b56/zygo/time.go#L38-L59,string to date,// string -> time.Time
